Watching for file changes with StatReloader
Not Found: /fonts/hkgrotesk-bold-webfont.woff2
Not Found: /fonts/hkgrotesk-light-webfont.woff2
Not Found: /fonts/hkgrotesk-bold-webfont.woff
Not Found: /fonts/hkgrotesk-light-webfont.woff
Not Found: /error/9/
C:\Users\gtuleshkova\PycharmProjects\SoftUni\djangoProjects\art_project\art_project\settings.py changed, reloading.
Not Found: /error/9/
2022-04-07 14:22:58,962 [WARNING] middlewares 2184 36888 Warning: On.Art error
2022-04-07 14:22:58,962 [CRITICAL] middlewares 2184 30336 Critical: On.Art error
2022-04-07 14:22:58,962 [ERROR] middlewares 2184 30336 Error: On.Art error
2022-04-07 14:22:58,962 [WARNING] middlewares 2184 30336 Warning: On.Art error
2022-04-07 14:22:59,147 [CRITICAL] middlewares 2184 36888 Critical: On.Art error
2022-04-07 14:22:59,147 [ERROR] middlewares 2184 36888 Error: On.Art error
2022-04-07 14:22:59,147 [WARNING] middlewares 2184 36888 Warning: On.Art error
2022-04-07 14:22:59,163 [CRITICAL] middlewares 2184 30336 Critical: On.Art error
2022-04-07 14:22:59,163 [ERROR] middlewares 2184 30336 Error: On.Art error
2022-04-07 14:22:59,163 [WARNING] middlewares 2184 30336 Warning: On.Art error
2022-04-07 14:22:59,247 [CRITICAL] middlewares 2184 36296 Critical: On.Art error
2022-04-07 14:22:59,247 [ERROR] middlewares 2184 36296 Error: On.Art error
2022-04-07 14:22:59,247 [WARNING] middlewares 2184 36296 Warning: On.Art error
2022-04-07 14:23:01,758 [CRITICAL] middlewares 2184 36296 Critical: On.Art error
2022-04-07 14:23:01,758 [ERROR] middlewares 2184 36296 Error: On.Art error
2022-04-07 14:23:01,758 [CRITICAL] middlewares 2184 36888 Critical: On.Art error
2022-04-07 14:23:01,758 [CRITICAL] middlewares 2184 30336 Critical: On.Art error
2022-04-07 14:23:01,758 [WARNING] middlewares 2184 36296 Warning: On.Art error
2022-04-07 14:23:01,758 [ERROR] middlewares 2184 36888 Error: On.Art error
2022-04-07 14:23:01,758 [ERROR] middlewares 2184 30336 Error: On.Art error
2022-04-07 14:23:01,758 [WARNING] middlewares 2184 36888 Warning: On.Art error
2022-04-07 14:23:01,758 [WARNING] middlewares 2184 30336 Warning: On.Art error
